subscription_name,resource_group,name,type,region,environment,owner,cost_center,criticality,tags,notes
NWH-Production,rg-nwh-prod-web-eastus,app-nwh-portal-prod-001,Microsoft.Web/sites,eastus,Production,j.martinez@northwindhealth.fake,CC-4100,High,"env=prod;app=patient-portal;owner=j.martinez;costcenter=CC-4100;data_classification=PHI;lifecycle=active",Primary patient portal - external facing
NWH-Production,rg-nwh-prod-web-eastus,plan-nwh-portal-prod-001,Microsoft.Web/serverfarms,eastus,Production,j.martinez@northwindhealth.fake,CC-4100,High,"env=prod;app=patient-portal;owner=j.martinez;costcenter=CC-4100",P2v3 plan - currently overprovisioned
NWH-Production,rg-nwh-prod-api-eastus,app-nwh-portalapi-prod-001,Microsoft.Web/sites,eastus,Production,j.martinez@northwindhealth.fake,CC-4100,High,"env=prod;app=patient-portal;owner=j.martinez;costcenter=CC-4100;data_classification=PHI;lifecycle=active",Backend API for patient portal
NWH-Production,rg-nwh-prod-api-eastus,func-nwh-notifications-prod-001,Microsoft.Web/sites,eastus,Production,s.chen@northwindhealth.fake,CC-4200,High,"env=prod;app=notifications;owner=s.chen;costcenter=CC-4200;data_classification=Internal;lifecycle=active",Email/SMS notification processor
NWH-Production,rg-nwh-prod-api-eastus,plan-nwh-api-prod-001,Microsoft.Web/serverfarms,eastus,Production,j.martinez@northwindhealth.fake,CC-4100,High,"env=prod;app=patient-portal;owner=j.martinez;costcenter=CC-4100",Shared API App Service Plan
NWH-Production,rg-nwh-prod-data-eastus,sql-nwh-main-prod-001,Microsoft.Sql/servers,eastus,Production,d.patel@northwindhealth.fake,CC-4300,Critical,"env=prod;app=shared;owner=d.patel;costcenter=CC-4300;data_classification=PHI;lifecycle=active",Primary SQL Server instance
NWH-Production,rg-nwh-prod-data-eastus,sqldb-nwh-patients-prod,Microsoft.Sql/servers/databases,eastus,Production,d.patel@northwindhealth.fake,CC-4300,Critical,"env=prod;app=patient-portal;owner=d.patel;costcenter=CC-4300;data_classification=PHI;lifecycle=active",Patient records database - S3 tier
NWH-Production,rg-nwh-prod-data-eastus,sqldb-nwh-appointments-prod,Microsoft.Sql/servers/databases,eastus,Production,d.patel@northwindhealth.fake,CC-4300,High,"env=prod;app=scheduling;owner=d.patel;costcenter=CC-4300;data_classification=PHI;lifecycle=active",Appointment scheduling database
NWH-Production,rg-nwh-prod-data-eastus,stnwhpatientdocs001,Microsoft.Storage/storageAccounts,eastus,Production,d.patel@northwindhealth.fake,CC-4300,Critical,"env=prod;app=patient-portal;owner=d.patel;costcenter=CC-4300;data_classification=PHI;lifecycle=active",Patient document storage - all Hot tier
NWH-Production,rg-nwh-prod-data-eastus,stnwhbackups001,Microsoft.Storage/storageAccounts,eastus,Production,d.patel@northwindhealth.fake,CC-4300,High,"env=prod;app=shared;owner=d.patel;costcenter=CC-4300;data_classification=Internal;lifecycle=active",Backup storage - should migrate to Cool tier
NWH-Production,rg-nwh-prod-security-eastus,kv-nwh-prod-001,Microsoft.KeyVault/vaults,eastus,Production,m.thompson@northwindhealth.fake,CC-4000,Critical,"env=prod;app=shared;owner=m.thompson;costcenter=CC-4000;data_classification=Confidential;lifecycle=active",Production secrets and certificates
NWH-Production,rg-nwh-prod-security-eastus,kv-nwh-prod-002,Microsoft.KeyVault/vaults,eastus,Production,m.thompson@northwindhealth.fake,CC-4000,High,"env=prod;app=shared;owner=m.thompson;costcenter=CC-4000;data_classification=Confidential;lifecycle=active",Secondary Key Vault - potentially redundant
NWH-Production,rg-nwh-prod-messaging-eastus,sb-nwh-prod-001,Microsoft.ServiceBus/namespaces,eastus,Production,s.chen@northwindhealth.fake,CC-4200,High,"env=prod;app=notifications;owner=s.chen;costcenter=CC-4200;data_classification=Internal;lifecycle=active",Premium tier - underutilized capacity
